

DERIVADOS SIDERURGICOS, C.A.                                                                Fecha: 13-09-2022
Desde: 01-01-2015 al: 13-09-2022                                                            Hora : 01:09:11
                                                                                            Pag. No.   1
                                       ++++  RESUMEN DE VENTAS ++++
                                             ======= == ======


  Codigo    Nombre Cliente                     Facturado (Bs)  Peso Guia (Kgs)     Prom Bs/Kgs  Ult. Venta  Frecuencia
  --------  ------------------------------  -----------------  ---------------  --------------  ----------  ----------
  C-2024    FERRE-MAX,C.A.                   3.825.769.769,01         2.613,80    1.463.681,14  29/06/2022           3
  C-1499    FERREMAT LAO LEE C.A             5.069.411.390,82        76.045,75       66.662,65  10/05/2022          15
  C-2057    DECORUSTICOS LARA C.A.             472.928.735,19           319,80    1.478.826,56  06/10/2021           3
  C-1452    MIGO LARA C.A                      591.711.480,70        98.063,51        6.033,96  17/08/2021          33
  C-2072    C.A. PROSALCA                      211.285.350,00            97,92    2.157.734,38  12/04/2021           1
  C-2056    FERRETERIA LA VENEZOLANA,C.A.       51.571.581,60            20,00    2.578.579,08  03/02/2021           1
  C-2020    FERRETERIA Y SERVICIOS PERIJA,   6.261.764.670,45        17.299,12      361.970,13  28/09/2020           2
  C-2019    TODO HIERRO MATERIALES, C.A.       338.597.209,74         1.628,29      207.946,50  27/07/2020           1
  C-0269    VICTOR JOSE RODRIGUEZ, C.A.        366.528.855,12        72.136,50        5.081,05  10/06/2020          12
  C-9       CLIENTE VENTA AL CONTADO           180.955.694,88       217.469,90          832,10  18/04/2018         296
  C-1936    PERFILADORA GUAYANA C.A            165.256.000,00       193.294,08          854,95  22/01/2018          12
  C-1938    RMG ACEROS, C.A                  1.002.342.010,00       673.095,30        1.489,15  18/01/2018          43
  C-0001    ANDAMIOS DALMINE,S.A.               67.904.814,20       294.500,77          230,58  17/01/2018          13
  C-2001    INVERSIONES HIVERCA, C.A.          119.647.800,00        92.028,00        1.300,12  13/12/2017           2
  C-1980    LAMIFLEJE C.A                      872.752.348,67     1.094.451,51          797,43  12/12/2017          62
  C-2011    FLH ACEROS Y DERIVADOS, C.A.        77.200.000,00       105.648,00          730,73  11/12/2017           8
  C-0295    MATERIALES LOS ANDES, C.A.         615.968.205,36       564.205,38        1.091,74  05/12/2017          74
